j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -1.24657, -1189338.74639, 0.00000, 1.10208, 2.34866, -1.24657
2, -1.14657, -1189338.71452, 0.03187, 1.10576, 2.25257, -1.14682
3, -1.04657, -1189338.50677, 0.23962, 1.10989, 2.15696, -1.04707
4, -0.94657, -1189338.10534, 0.64106, 1.11542, 2.06281, -0.94739
5, -0.84657, -1189337.44845, 1.29794, 1.12309, 1.97090, -0.84781
6, -0.74657, -1189336.44932, 2.29707, 1.13378, 1.88214, -0.74836
7, -0.64657, -1189334.98980, 3.75659, 1.15127, 1.80039, -0.64912
8, -0.54657, -1189333.26736, 5.47903, 1.16490, 1.71451, -0.54961
9, -0.44657, -1189331.04737, 7.69902, 1.18643, 1.63664, -0.45021
10, -0.34657, -1189328.56729, 10.17910, 1.21056, 1.56095, -0.35039
11, -0.24657, -1189326.14140, 12.60499, 1.23681, 1.48668, -0.24987
12, -0.14657, -1189324.45863, 14.28776, 1.26409, 1.41235, -0.14826
13, -0.04657, -1189324.06477, 14.68163, 1.29392, 1.33993, -0.04602
14, 0.05343, -1189325.39566, 13.35073, 1.32819, 1.27179, 0.05640
15, 0.15343, -1189327.89571, 10.85069, 1.37376, 1.21595, 0.15781
16, 0.25343, -1189331.08298, 7.66342, 1.42550, 1.16694, 0.25857
17, 0.35343, -1189334.63842, 4.10798, 1.48724, 1.12861, 0.35863
18, 0.35863, -1189334.79128, 3.95511, 1.48901, 1.12515, 0.36385
19, 0.45863, -1189339.51539, -0.76900, 1.55888, 1.09490, 0.46398
20, 0.55863, -1189347.28116, -8.53477, 1.62938, 1.06603, 0.56335
21, 0.65863, -1189350.46154, -11.71515, 1.70745, 1.04473, 0.66271
22, 0.75863, -1189352.92711, -14.18072, 1.78758, 1.02580, 0.76178
23, 0.85863, -1189354.99395, -16.24756, 1.87527, 1.01387, 0.86140
24, 0.95863, -1189356.62413, -17.87774, 1.96475, 1.00393, 0.96082
25, 1.05863, -1189357.87747, -19.13108, 2.05585, 0.99555, 1.06029
26, 1.15863, -1189358.86236, -20.11597, 2.14979, 0.98990, 1.15989
27, 1.25863, -1189359.56244, -20.81605, 2.24408, 0.98457, 1.25951
28, 1.35863, -1189360.03522, -21.28883, 2.34013, 0.98085, 1.35928
29, 1.45863, -1189360.45393, -21.70754, 2.43797, 0.97888, 1.45909
30, 1.55863, -1189360.64915, -21.90276, 2.53490, 0.97605, 1.55885
31, 1.65863, -1189360.70263, -21.95624, 2.63266, 0.97397, 1.65869
32, 1.75863, -1189360.93265, -22.18626, 2.73270, 0.97405, 1.75865
33, 1.85863, -1189360.87836, -22.13197, 2.83056, 0.97207, 1.85849
34, 1.95863, -1189360.78038, -22.03399, 2.92962, 0.97120, 1.95843
35, 2.05863, -1189360.58541, -21.83902, 3.02806, 0.96979, 2.05827
36, 2.15863, -1189360.39240, -21.64601, 3.12787, 0.96955, 2.15832
37, 2.25863, -1189360.08656, -21.34017, 3.22650, 0.96836, 2.25814
38, 2.35863, -1189359.88105, -21.13466, 3.32655, 0.96843, 2.35812
39, 2.45863, -1189359.48258, -20.73619, 3.42532, 0.96736, 2.45797
40, 2.55863, -1189359.07798, -20.33159, 3.52481, 0.96688, 2.55793
41, 2.65863, -1189358.57727, -19.83088, 3.62403, 0.96615, 2.65788
42, 2.75863, -1189358.13594, -19.38955, 3.72462, 0.96669, 2.75793
43, 2.85863, -1189357.58582, -18.83943, 3.82355, 0.96581, 2.85774
44, 2.95863, -1189357.13598, -18.38959, 3.92428, 0.96644, 2.95784
45, 3.05863, -1189356.55375, -17.80736, 4.02366, 0.96593, 3.05774
46, 3.15863, -1189355.97937, -17.23298, 4.12390, 0.96619, 3.15771
47, 3.25863, -1189355.39881, -16.65242, 4.22422, 0.96648, 3.25774
48, 3.35863, -1189354.74587, -15.99948, 4.32364, 0.96606, 3.35758
49, 3.45863, -1189354.30885, -15.56246, 4.42510, 0.96732, 3.45778
50, 3.55863, -1189353.72506, -14.97867, 4.52495, 0.96727, 3.55768
51, 3.65863, -1189353.46162, -14.71523, 4.62785, 0.96986, 3.65799
52, 3.75863, -1189353.87991, -15.13352, 4.72744, 0.96951, 3.75793
