j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -2.43301, -1189930.33734, 0.00000, 1.10241, 3.53542, -2.43301
2, -2.33301, -1189932.41098, -2.07363, 1.10363, 3.43677, -2.33314
3, -2.23301, -1189932.62918, -2.29184, 1.10271, 3.33575, -2.23304
4, -2.13301, -1189932.58347, -2.24613, 1.10359, 3.23671, -2.13312
5, -2.03301, -1189932.52614, -2.18880, 1.10377, 3.13692, -2.03315
6, -1.93301, -1189932.63269, -2.29534, 1.10232, 3.03530, -1.93297
7, -1.83301, -1189932.61078, -2.27344, 1.10333, 2.93643, -1.83310
8, -1.73301, -1189932.56474, -2.22740, 1.10355, 2.83667, -1.73312
9, -1.63301, -1189932.98062, -2.64327, 1.10088, 2.73388, -1.63300
10, -1.53301, -1189933.08951, -2.75216, 1.10312, 2.63611, -1.53299
11, -1.43301, -1189933.06007, -2.72272, 1.10635, 2.53952, -1.43316
12, -1.33301, -1189932.97034, -2.63299, 1.10835, 2.44163, -1.33328
13, -1.23301, -1189932.96731, -2.62997, 1.10890, 2.34227, -1.23337
14, -1.13301, -1189932.70693, -2.36958, 1.11324, 2.24681, -1.13357
15, -1.03301, -1189932.30960, -1.97226, 1.11778, 2.15157, -1.03379
16, -0.93301, -1189931.98794, -1.65060, 1.12030, 2.05424, -0.93394
17, -0.83301, -1189931.23905, -0.90170, 1.12911, 1.96354, -0.83442
18, -0.73301, -1189930.17864, 0.15870, 1.14033, 1.87524, -0.73491
19, -0.63301, -1189928.94778, 1.38957, 1.15145, 1.78682, -0.63537
20, -0.53301, -1189927.15590, 3.18144, 1.17017, 1.70617, -0.53600
21, -0.43301, -1189925.00797, 5.32938, 1.19137, 1.62782, -0.43644
22, -0.33301, -1189922.83341, 7.50393, 1.21396, 1.55025, -0.33630
23, -0.23301, -1189920.88406, 9.45328, 1.24017, 1.47561, -0.23544
24, -0.13301, -1189920.07062, 10.26672, 1.26275, 1.39596, -0.13321
25, -0.03301, -1189920.74839, 9.58896, 1.29245, 1.32327, -0.03082
26, 0.06699, -1189922.97535, 7.36199, 1.32902, 1.25783, 0.07120
27, 0.16699, -1189926.25802, 4.07932, 1.37589, 1.20358, 0.17231
28, 0.26699, -1189930.24291, 0.09443, 1.42863, 1.15571, 0.27291
29, 0.36699, -1189934.21932, -3.88198, 1.48934, 1.11651, 0.37283
30, 0.46699, -1189937.96987, -7.63253, 1.55539, 1.08324, 0.47215
31, 0.56699, -1189941.40839, -11.07104, 1.62975, 1.05808, 0.57167
32, 0.66699, -1189944.33519, -13.99785, 1.70749, 1.03633, 0.67116
33, 0.76699, -1189946.81321, -16.47587, 1.79166, 1.02137, 0.77029
34, 0.86699, -1189948.75337, -18.41602, 1.87563, 1.00616, 0.86948
35, 0.96699, -1189950.37281, -20.03547, 1.96866, 0.99958, 0.96908
36, 1.06699, -1189951.53281, -21.19547, 2.05742, 0.98914, 1.06828
37, 1.16699, -1189952.59034, -22.25300, 2.15552, 0.98727, 1.16825
38, 1.26699, -1189953.23536, -22.89801, 2.24739, 0.97985, 1.26754
39, 1.36699, -1189953.92194, -23.58460, 2.34876, 0.98103, 1.36773
40, 1.46699, -1189955.72751, -25.39016, 2.44608, 0.97856, 1.46752
41, 1.56699, -1189956.02276, -25.68542, 2.54371, 0.97638, 1.56733
42, 1.66699, -1189956.21554, -25.87820, 2.64221, 0.97501, 1.66720
43, 1.76699, -1189956.25632, -25.91898, 2.74001, 0.97305, 1.76696
44, 1.86699, -1189956.33269, -25.99534, 2.84025, 0.97329, 1.86696
45, 1.96699, -1189956.23564, -25.89829, 2.93851, 0.97170, 1.96681
46, 2.06699, -1189956.11598, -25.77864, 3.03828, 0.97153, 2.06675
47, 2.16699, -1189955.88572, -25.54838, 3.13661, 0.97005, 2.16656
48, 2.26699, -1189955.64815, -25.31080, 3.23679, 0.97017, 2.26662
49, 2.36699, -1189955.33431, -24.99697, 3.33553, 0.96903, 2.36650
50, 2.46699, -1189955.18205, -24.84471, 3.43666, 0.97003, 2.46662
51, 2.56699, -1189954.89553, -24.55819, 3.53573, 0.96915, 2.56658
52, 2.66699, -1189954.72025, -24.38291, 3.63663, 0.96999, 2.66664
53, 2.76699, -1189954.47134, -24.13400, 3.73589, 0.96935, 2.76655
54, 2.86699, -1189954.19710, -23.85976, 3.83596, 0.96937, 2.86659
55, 2.96699, -1189953.88302, -23.54568, 3.93585, 0.96937, 2.96648
56, 3.06699, -1189953.67870, -23.34135, 4.03622, 0.96964, 3.06658
57, 3.16699, -1189953.36542, -23.02807, 4.13566, 0.96919, 3.16646
58, 3.26699, -1189953.02021, -22.68287, 4.23596, 0.96950, 3.26645
59, 3.36699, -1189952.61415, -22.27681, 4.33446, 0.96821, 3.36625
60, 3.46699, -1189952.26638, -21.92903, 4.43580, 0.96943, 3.46637
61, 3.56699, -1189951.81956, -21.48222, 4.53533, 0.96908, 3.56625
62, 3.66699, -1189951.37117, -21.03383, 4.63544, 0.96916, 3.66628
63, 3.76699, -1189950.83207, -20.49473, 4.73520, 0.96908, 3.76611
64, 3.86699, -1189950.21146, -19.87412, 4.83455, 0.96859, 3.86597
65, 3.96699, -1189949.63376, -19.29641, 4.93481, 0.96876, 3.96605
