j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -1.23318, -1189774.07027, 0.00000, 1.10192, 2.33510, -1.23318
2, -1.13318, -1189774.14620, -0.07593, 1.10412, 2.23745, -1.13333
3, -1.03318, -1189773.98410, 0.08617, 1.10954, 2.14319, -1.03365
4, -0.93318, -1189773.93627, 0.13400, 1.11376, 2.04759, -0.93383
5, -0.83318, -1189773.36634, 0.70393, 1.12259, 1.95692, -0.83433
6, -0.73318, -1189772.49861, 1.57166, 1.13255, 1.86737, -0.73482
7, -0.63318, -1189771.20701, 2.86326, 1.14644, 1.78189, -0.63545
8, -0.53318, -1189769.42618, 4.64409, 1.16657, 1.70280, -0.53623
9, -0.43318, -1189767.32158, 6.74869, 1.18619, 1.62291, -0.43672
10, -0.33318, -1189764.78252, 9.28775, 1.21378, 1.55095, -0.33717
11, -0.23318, -1189762.86732, 11.20295, 1.23599, 1.47228, -0.23629
12, -0.13318, -1189762.36946, 11.70082, 1.26163, 1.39593, -0.13430
13, -0.03318, -1189763.26103, 10.80925, 1.28852, 1.31982, -0.03130
14, 0.06682, -1189765.27472, 8.79555, 1.32621, 1.25534, 0.07087
15, 0.16682, -1189768.42183, 5.64844, 1.37315, 1.20094, 0.17221
16, 0.26682, -1189772.51326, 1.55701, 1.42599, 1.15327, 0.27273
17, 0.36682, -1189776.44874, -2.37847, 1.48670, 1.11409, 0.37261
18, 0.46682, -1189780.20538, -6.13511, 1.55404, 1.08176, 0.47229
19, 0.56682, -1189783.61017, -9.53990, 1.62740, 1.05592, 0.57148
20, 0.66682, -1189786.49888, -12.42861, 1.70432, 1.03381, 0.67051
21, 0.76682, -1189788.90268, -14.83241, 1.78852, 1.01858, 0.76994
22, 0.86682, -1189790.72998, -16.65971, 1.87280, 1.00387, 0.86894
23, 0.96682, -1189792.28374, -18.21347, 1.96566, 0.99696, 0.96870
24, 1.06682, -1189793.34563, -19.27536, 2.05673, 0.98878, 1.06795
25, 1.16682, -1189794.06707, -19.99679, 2.15052, 0.98296, 1.16755
26, 1.26682, -1189794.65209, -20.58182, 2.24746, 0.98001, 1.26745
27, 1.36682, -1189794.94646, -20.87619, 2.34297, 0.97581, 1.36716
28, 1.46682, -1189795.03492, -20.96465, 2.43999, 0.97307, 1.46692
29, 1.56682, -1189795.26816, -21.19789, 2.54045, 0.97358, 1.56687
30, 1.66682, -1189795.22568, -21.15541, 2.63768, 0.97112, 1.66655
31, 1.76682, -1189795.21254, -21.14227, 2.73889, 0.97223, 1.76666
32, 1.76666, -1189795.21603, -21.14576, 2.73889, 0.97223, 1.76666
33, 1.86666, -1189795.07956, -21.00929, 2.83685, 0.97051, 1.86635
34, 1.96666, -1189794.99165, -20.92138, 2.93805, 0.97156, 1.96650
35, 2.06666, -1189794.79512, -20.72485, 3.03641, 0.97013, 2.06628
36, 2.16666, -1189794.67146, -20.60119, 3.13748, 0.97107, 2.16641
37, 2.26666, -1189794.44069, -20.37042, 3.23607, 0.96984, 2.26623
38, 2.36666, -1189794.17902, -20.10875, 3.33584, 0.96962, 2.36622
39, 2.46666, -1189793.84325, -19.77298, 3.43494, 0.96884, 2.46609
40, 2.46609, -1189793.85115, -19.78088, 3.43471, 0.96914, 2.46556
41, 2.56609, -1189793.74384, -19.67357, 3.53600, 0.97030, 2.56570
42, 2.66609, -1189793.48232, -19.41205, 3.63527, 0.96961, 2.66565
43, 2.76609, -1189793.13744, -19.06717, 3.73431, 0.96880, 2.76551
44, 2.86609, -1189792.98241, -18.91214, 3.83539, 0.96969, 2.86571
45, 2.96609, -1189792.66994, -18.59967, 3.93508, 0.96941, 2.96567
46, 3.06609, -1189792.35637, -18.28610, 4.03490, 0.96931, 3.06559
47, 3.16609, -1189791.97953, -17.90926, 4.13462, 0.96915, 3.16547
48, 3.26609, -1189791.83590, -17.76563, 4.23576, 0.97009, 3.26566
49, 3.36609, -1189791.52598, -17.45571, 4.33542, 0.96986, 3.36557
50, 3.46609, -1189791.40230, -17.33203, 4.43640, 0.97068, 3.46572
51, 3.56609, -1189791.14662, -17.07635, 4.53605, 0.97041, 3.56564
52, 3.66609, -1189790.88575, -16.81548, 4.63623, 0.97064, 3.66559
53, 3.76609, -1189790.56468, -16.49441, 4.73637, 0.97081, 3.76556
54, 3.86609, -1189790.50279, -16.43252, 4.83693, 0.97115, 3.86578
55, 3.96609, -1189790.21516, -16.14489, 4.93704, 0.97143, 3.96561
