j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -1.33278, -1189681.32860, 0.00000, 1.10310, 2.43588, -1.33278
2, -1.23278, -1189681.32631, 0.00229, 1.10556, 2.33847, -1.23292
3, -1.13278, -1189681.18108, 0.14752, 1.10948, 2.24263, -1.13315
4, -1.03278, -1189681.18367, 0.14493, 1.11259, 2.14592, -1.03333
5, -0.93278, -1189681.02764, 0.30097, 1.12004, 2.05378, -0.93374
6, -0.83278, -1189680.31055, 1.01805, 1.12768, 1.96182, -0.83414
7, -0.73278, -1189679.21993, 2.10867, 1.14054, 1.87528, -0.73474
8, -0.63278, -1189677.76541, 3.56319, 1.15322, 1.78853, -0.63531
9, -0.53278, -1189675.85481, 5.47379, 1.17329, 1.70928, -0.53599
10, -0.43278, -1189673.61672, 7.71188, 1.19333, 1.62976, -0.43643
11, -0.33278, -1189671.04642, 10.28218, 1.22022, 1.55693, -0.33671
12, -0.23278, -1189668.62490, 12.70370, 1.24652, 1.48265, -0.23613
13, -0.13278, -1189666.83152, 14.49708, 1.27481, 1.40936, -0.13455
14, -0.03278, -1189666.59702, 14.73159, 1.30270, 1.33461, -0.03190
15, 0.06722, -1189668.00538, 13.32322, 1.33857, 1.26812, 0.07045
16, 0.16722, -1189671.06078, 10.26782, 1.38324, 1.21106, 0.17217
17, 0.26722, -1189674.65528, 6.67332, 1.43566, 1.16279, 0.27286
18, 0.36722, -1189678.51917, 2.80943, 1.49736, 1.12444, 0.37292
19, 0.46722, -1189682.25794, -0.92933, 1.56362, 1.09102, 0.47260
20, 0.56722, -1189685.94428, -4.61568, 1.63712, 1.06500, 0.57212
21, 0.66722, -1189688.98559, -7.65699, 1.71381, 1.04261, 0.67121
22, 0.76722, -1189691.60855, -10.27995, 1.79803, 1.02733, 0.77070
23, 0.86722, -1189693.73421, -12.40561, 1.88361, 1.01353, 0.87008
24, 0.96722, -1189695.48675, -14.15815, 1.97390, 1.00442, 0.96948
25, 1.06722, -1189696.87441, -15.54581, 2.06620, 0.99715, 1.06905
26, 1.06905, -1189696.89428, -15.56568, 2.06678, 0.99600, 1.07078
27, 1.16905, -1189697.93344, -16.60484, 2.15991, 0.98941, 1.17051
28, 1.26905, -1189698.93152, -17.60292, 2.25708, 0.98690, 1.27018
29, 1.36905, -1189699.57202, -18.24342, 2.35254, 0.98275, 1.36979
30, 1.46905, -1189699.95771, -18.62911, 2.44663, 0.97735, 1.46928
31, 1.56905, -1189700.48153, -19.15293, 2.54818, 0.97865, 1.56953
32, 1.66905, -1189700.67447, -19.34587, 2.64318, 0.97414, 1.66904
33, 1.76905, -1189701.00196, -19.67336, 2.74550, 0.97613, 1.76936
34, 1.86905, -1189701.13271, -19.80411, 2.84333, 0.97413, 1.86920
35, 1.96905, -1189701.16286, -19.83426, 2.94170, 0.97263, 1.96907
36, 2.06905, -1189701.46948, -20.14088, 3.04400, 0.97474, 2.06927
37, 2.16905, -1189701.80228, -20.47368, 3.14375, 0.97456, 2.16919
38, 2.26905, -1189701.85857, -20.52997, 3.24186, 0.97284, 2.26902
39, 2.36905, -1189701.82993, -20.50133, 3.34073, 0.97179, 2.36894
40, 2.46905, -1189701.82037, -20.49177, 3.44056, 0.97160, 2.46895
41, 2.56905, -1189701.69650, -20.36790, 3.53882, 0.97006, 2.56876
42, 2.66905, -1189701.55268, -20.22408, 3.63854, 0.96977, 2.66876
43, 2.76905, -1189701.30995, -19.98135, 3.73702, 0.96842, 2.76860
44, 2.86905, -1189701.03404, -19.70544, 3.83664, 0.96801, 2.86863
45, 2.96905, -1189700.66916, -19.34056, 3.93510, 0.96662, 2.96848
46, 3.06905, -1189700.29405, -18.96545, 4.03483, 0.96640, 3.06843
47, 3.16905, -1189699.81909, -18.49049, 4.13338, 0.96519, 3.16818
48, 3.26905, -1189699.37438, -18.04578, 4.23365, 0.96536, 3.26829
49, 3.36905, -1189698.80955, -17.48095, 4.33249, 0.96435, 3.36814
50, 3.46905, -1189698.26562, -16.93702, 4.43253, 0.96437, 3.46816
51, 3.56905, -1189697.60475, -16.27615, 4.53143, 0.96340, 3.56803
52, 3.66905, -1189696.88165, -15.55305, 4.63101, 0.96311, 3.66790
53, 3.76905, -1189696.14900, -14.82040, 4.73100, 0.96312, 3.76788
54, 3.86905, -1189695.33136, -14.00276, 4.83048, 0.96269, 3.86778
55, 3.96905, -1189694.54505, -13.21645, 4.93067, 0.96291, 3.96776
