j, rc, E, deltaE, d_CH, d_HOcof, rc_m
37, 0.35692, -1189633.27863, 28.82720, 1.50884, 1.14582, 0.36302
38, 0.45692, -1189637.48577, 24.62006, 1.57676, 1.11365, 0.46311
39, 0.55692, -1189641.52566, 20.58017, 1.64750, 1.08457, 0.56293
40, 0.65692, -1189645.53516, 16.57067, 1.72828, 1.06573, 0.66255
41, 0.75692, -1189649.14901, 12.95682, 1.80931, 1.04725, 0.76206
42, 0.85692, -1189652.51311, 9.59272, 1.89736, 1.03570, 0.86165
43, 0.95692, -1189655.50619, 6.59964, 1.98450, 1.02342, 0.96108
44, 1.05692, -1189658.35354, 3.75230, 2.07770, 1.01691, 1.06079
45, 1.15692, -1189660.81924, 1.28659, 2.16902, 1.00871, 1.16030
46, 1.25692, -1189663.04005, -0.93422, 2.26341, 1.00340, 1.26001
47, 1.35692, -1189665.07902, -2.97319, 2.35932, 0.99955, 1.35976
48, 1.45692, -1189666.95017, -4.84434, 2.45566, 0.99615, 1.45951
49, 1.55692, -1189668.54238, -6.43655, 2.55032, 0.99110, 1.55922
50, 1.65692, -1189670.03429, -7.92846, 2.64871, 0.98977, 1.65895
51, 1.75692, -1189671.27604, -9.17021, 2.74412, 0.98565, 1.75848
52, 1.85692, -1189672.55161, -10.44578, 2.84396, 0.98540, 1.85856
53, 1.95692, -1189673.54964, -11.44381, 2.94086, 0.98258, 1.95828
54, 2.05692, -1189674.39936, -12.29353, 3.03871, 0.98072, 2.05799
55, 2.15692, -1189675.05140, -12.94557, 3.13563, 0.97794, 2.15769
56, 2.25692, -1189675.86738, -13.76155, 3.23575, 0.97803, 2.25771
57, 2.35692, -1189676.36425, -14.25842, 3.33404, 0.97648, 2.35756
58, 2.45692, -1189676.86682, -14.76099, 3.43320, 0.97573, 2.45747
59, 2.55692, -1189677.16276, -15.05693, 3.53161, 0.97436, 2.55725
60, 2.65692, -1189677.34310, -15.23727, 3.63065, 0.97356, 2.65710
61, 2.75692, -1189677.44196, -15.33613, 3.72985, 0.97285, 2.75700
62, 2.85692, -1189677.47311, -15.36727, 3.82917, 0.97228, 2.85689
63, 2.95692, -1189677.60079, -15.49496, 3.92871, 0.97188, 2.95683
64, 3.05692, -1189677.52691, -15.42108, 4.02777, 0.97110, 3.05668
65, 3.15692, -1189677.47649, -15.37066, 4.12751, 0.97084, 3.15667
66, 3.25692, -1189677.26358, -15.15775, 4.22639, 0.96988, 3.25651
67, 3.35692, -1189676.96163, -14.85580, 4.32593, 0.96953, 3.35640
68, 3.45692, -1189676.67524, -14.56941, 4.42539, 0.96902, 3.45638
69, 3.55692, -1189676.27110, -14.16527, 4.52470, 0.96848, 3.55622
70, 3.65692, -1189676.06522, -13.95939, 4.62527, 0.96892, 3.65635
71, 3.75692, -1189675.65863, -13.55280, 4.72438, 0.96817, 3.75621
72, 3.85692, -1189675.32622, -13.22039, 4.82459, 0.96837, 3.85622
73, 3.95692, -1189674.83212, -12.72629, 4.92370, 0.96762, 3.95608
