j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -3.24308, -1189662.10583, 0.00000, 1.09763, 4.34071, -3.24308
2, -3.14308, -1189662.24739, -0.14156, 1.09852, 4.24167, -3.14315
3, -3.04308, -1189662.18708, -0.08125, 1.09942, 4.14266, -3.04324
4, -2.94308, -1189662.09111, 0.01472, 1.09975, 4.04301, -2.94327
5, -2.84308, -1189661.97075, 0.13508, 1.10063, 3.94395, -2.84332
6, -2.74308, -1189661.78541, 0.32042, 1.10200, 3.84541, -2.74342
7, -2.64308, -1189661.59673, 0.50910, 1.10259, 3.74603, -2.64344
8, -2.54308, -1189661.33634, 0.76949, 1.10506, 3.64864, -2.54358
9, -2.44308, -1189661.10763, 0.99820, 1.10430, 3.54784, -2.44354
10, -2.34308, -1189660.76914, 1.33669, 1.10652, 3.45018, -2.34366
11, -2.24308, -1189660.36825, 1.73758, 1.10781, 3.35156, -2.24375
12, -2.14308, -1189659.94978, 2.15605, 1.10886, 3.25267, -2.14381
13, -2.04308, -1189659.42488, 2.68095, 1.11159, 3.15556, -2.04397
14, -1.94308, -1189658.87030, 3.23553, 1.11251, 3.05654, -1.94403
15, -1.84308, -1189658.18825, 3.91758, 1.11601, 2.96025, -1.84424
16, -1.74308, -1189657.45960, 4.64623, 1.11761, 2.86193, -1.74432
17, -1.64308, -1189656.56238, 5.54345, 1.12193, 2.76650, -1.64457
18, -1.54308, -1189655.61167, 6.49416, 1.12378, 2.66845, -1.54467
19, -1.44308, -1189654.46463, 7.64120, 1.12891, 2.57389, -1.44497
20, -1.34308, -1189653.27117, 8.83466, 1.13103, 2.47614, -1.34511
21, -1.24308, -1189651.82795, 10.27788, 1.13732, 2.38276, -1.24544
22, -1.14308, -1189650.25083, 11.85500, 1.14143, 2.28707, -1.14564
23, -1.04308, -1189648.68627, 13.41956, 1.14474, 2.19055, -1.04581
24, -0.94308, -1189646.73974, 15.36609, 1.15347, 2.09973, -0.94626
25, -0.84308, -1189644.56076, 17.54507, 1.16200, 2.00863, -0.84663
26, -0.74308, -1189642.34022, 19.76561, 1.16936, 1.91628, -0.74691
27, -0.64308, -1189639.64296, 22.46287, 1.18407, 1.83155, -0.64749
28, -0.54308, -1189636.86501, 25.24082, 1.20104, 1.74909, -0.54805
29, -0.44308, -1189633.43263, 28.67320, 1.22427, 1.67287, -0.44860
30, -0.34308, -1189629.56566, 32.54017, 1.25401, 1.60306, -0.34906
31, -0.24308, -1189625.75556, 36.35027, 1.28028, 1.52900, -0.24871
32, -0.14308, -1189622.41102, 39.69481, 1.30594, 1.45302, -0.14708
33, -0.04308, -1189621.08313, 41.02270, 1.32489, 1.36800, -0.04311
34, 0.05692, -1189622.39946, 39.70637, 1.35055, 1.29014, 0.06041
35, 0.15692, -1189625.58762, 36.51821, 1.39641, 1.23445, 0.16197
36, 0.25692, -1189629.22764, 32.87819, 1.44866, 1.18593, 0.26273
