j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -1.43342, -1190407.63721, 0.00000, 1.10443, 2.53785, -1.43342
2, -1.33342, -1190407.59978, 0.03743, 1.10724, 2.44080, -1.33356
3, -1.23342, -1190407.47194, 0.16527, 1.11043, 2.34418, -1.23375
4, -1.23375, -1190407.47271, 0.16450, 1.11032, 2.34440, -1.23408
5, -1.13375, -1190407.20188, 0.43533, 1.11476, 2.24907, -1.13430
6, -1.03375, -1190406.80689, 0.83032, 1.11904, 2.15356, -1.03452
7, -0.93375, -1190406.17520, 1.46201, 1.12699, 2.06187, -0.93489
8, -0.83375, -1190405.32700, 2.31021, 1.13437, 1.96965, -0.83528
9, -0.73375, -1190404.22780, 3.40941, 1.14506, 1.88079, -0.73573
10, -0.63375, -1190402.70904, 4.92817, 1.16098, 1.79735, -0.63636
11, -0.53375, -1190400.80147, 6.83574, 1.17897, 1.71591, -0.53694
12, -0.43375, -1190398.48319, 9.15402, 1.20299, 1.64046, -0.43747
13, -0.33375, -1190396.06983, 11.56738, 1.22731, 1.56502, -0.33771
14, -0.23375, -1190393.41016, 14.22705, 1.25985, 1.49748, -0.23763
15, -0.13375, -1190391.13056, 16.50665, 1.28951, 1.42607, -0.13656
16, -0.13656, -1190391.18426, 16.45295, 1.28856, 1.42798, -0.13941
17, -0.03656, -1190390.23984, 17.39737, 1.31470, 1.35152, -0.03683
18, 0.06344, -1190391.10855, 16.52866, 1.34542, 1.27935, 0.06607
19, 0.16344, -1190393.70709, 13.93012, 1.38631, 1.21805, 0.16826
20, 0.26344, -1190397.42335, 10.21386, 1.43757, 1.16817, 0.26940
21, 0.36344, -1190401.50983, 6.12738, 1.49684, 1.12714, 0.36970
22, 0.46344, -1190405.87860, 1.75861, 1.56331, 1.09386, 0.46945
23, 0.56344, -1190409.73168, -2.09447, 1.63601, 1.06717, 0.56884
24, 0.66344, -1190413.20126, -5.56405, 1.71505, 1.04675, 0.66830
25, 0.76344, -1190416.23056, -8.59335, 1.79856, 1.03091, 0.76764
26, 0.86344, -1190418.78421, -11.14700, 1.88425, 1.01748, 0.86677
27, 0.96344, -1190420.98837, -13.35116, 1.97477, 1.00836, 0.96641
28, 1.06344, -1190422.79125, -15.15404, 2.06591, 1.00005, 1.06586
29, 1.16344, -1190424.33943, -16.70222, 2.16020, 0.99468, 1.16553
30, 1.26344, -1190425.57606, -17.93885, 2.25434, 0.98914, 1.26520
31, 1.36344, -1190426.64192, -19.00471, 2.35086, 0.98604, 1.36482
32, 1.46344, -1190427.44321, -19.80600, 2.44656, 0.98199, 1.46456
33, 1.56344, -1190428.05348, -20.41627, 2.54324, 0.97905, 1.56419
34, 1.66344, -1190428.61438, -20.97717, 2.64178, 0.97770, 1.66408
35, 1.76344, -1190428.94921, -21.31200, 2.73850, 0.97471, 1.76378
36, 1.86344, -1190429.16347, -21.52626, 2.83690, 0.97322, 1.86368
37, 1.96344, -1190429.26740, -21.63019, 2.93538, 0.97187, 1.96351
38, 2.06344, -1190429.23426, -21.59705, 3.03284, 0.96954, 2.06330
39, 2.16344, -1190429.22952, -21.59231, 3.13254, 0.96928, 2.16326
40, 2.26344, -1190429.05834, -21.42113, 3.23081, 0.96770, 2.26311
41, 2.36344, -1190428.91333, -21.27612, 3.33097, 0.96784, 2.36313
42, 2.46344, -1190428.62424, -20.98703, 3.42921, 0.96624, 2.46297
43, 2.56344, -1190428.26065, -20.62344, 3.52821, 0.96539, 2.56282
44, 2.66344, -1190427.72542, -20.08821, 3.62641, 0.96365, 2.66276
45, 2.76344, -1190427.52879, -19.89158, 3.72898, 0.96619, 2.76279
46, 2.86344, -1190427.06866, -19.43145, 3.82836, 0.96571, 2.86265
47, 2.96344, -1190426.51278, -18.87557, 3.92815, 0.96555, 2.96260
48, 3.06344, -1190425.85072, -18.21351, 4.02713, 0.96470, 3.06242
49, 3.16344, -1190425.36957, -17.73236, 4.12776, 0.96528, 3.16248
50, 3.26344, -1190424.65583, -17.01862, 4.22741, 0.96515, 3.26226
51, 3.36344, -1190423.89546, -16.25825, 4.32795, 0.96574, 3.36222
