j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -1.27118, -1191338.79397, 0.00000, 1.10379, 2.37497, -1.27118
2, -1.17118, -1191338.76361, 0.03036, 1.10727, 2.27863, -1.17136
3, -1.07118, -1191338.60673, 0.18724, 1.11096, 2.18253, -1.07156
4, -0.97118, -1191338.28234, 0.51164, 1.11606, 2.08791, -0.97185
5, -0.87118, -1191337.80528, 0.98870, 1.12288, 1.99507, -0.87219
6, -0.77118, -1191336.95871, 1.83526, 1.13356, 1.90625, -0.77269
7, -0.67118, -1191335.79874, 2.99524, 1.14550, 1.81873, -0.67323
8, -0.57118, -1191334.19830, 4.59567, 1.16346, 1.73735, -0.57389
9, -0.47118, -1191332.25905, 6.53493, 1.18256, 1.65696, -0.47440
10, -0.37118, -1191329.91750, 8.87647, 1.20963, 1.58454, -0.37491
11, -0.27118, -1191327.52938, 11.26460, 1.23595, 1.51065, -0.27470
12, -0.17118, -1191325.47983, 13.31414, 1.26375, 1.43730, -0.17355
13, -0.07118, -1191324.55418, 14.23979, 1.29313, 1.36448, -0.07134
14, 0.02882, -1191325.33690, 13.45707, 1.32466, 1.29332, 0.03133
15, 0.12882, -1191327.79696, 10.99702, 1.36386, 1.23044, 0.13342
16, 0.22882, -1191331.29497, 7.49901, 1.41300, 1.17842, 0.23458
17, 0.32882, -1191335.25500, 3.53897, 1.47195, 1.13712, 0.33483
18, 0.42882, -1191339.23679, -0.44281, 1.53640, 1.10173, 0.43467
19, 0.52882, -1191343.02341, -4.22943, 1.60789, 1.07372, 0.53417
20, 0.62882, -1191346.39694, -7.60297, 1.68369, 1.05009, 0.63360
21, 0.72882, -1191349.33364, -10.53966, 1.76559, 1.03282, 0.73277
22, 0.82882, -1191351.75050, -12.95652, 1.84887, 1.01697, 0.83190
23, 0.92882, -1191353.87908, -15.08511, 1.93991, 1.00834, 0.93157
24, 1.02882, -1191355.50972, -16.71575, 2.02973, 0.99860, 1.03113
25, 1.12882, -1191356.89533, -18.10136, 2.12422, 0.99360, 1.13062
26, 1.22882, -1191357.89282, -19.09884, 2.21595, 0.98601, 1.22994
27, 1.32882, -1191358.71787, -19.92390, 2.31321, 0.98334, 1.32988
28, 1.42882, -1191359.21427, -20.42030, 2.40682, 0.97764, 1.42918
29, 1.52882, -1191359.77545, -20.98148, 2.50724, 0.97789, 1.52935
30, 1.62882, -1191360.02738, -21.23341, 2.60362, 0.97470, 1.62892
31, 1.72882, -1191360.19493, -21.40096, 2.70248, 0.97354, 1.72894
32, 1.82882, -1191360.21500, -21.42103, 2.80003, 0.97124, 1.82879
33, 1.92882, -1191360.23419, -21.44021, 2.89970, 0.97098, 1.92873
34, 2.02882, -1191360.09864, -21.30467, 2.99760, 0.96903, 2.02857
35, 2.12882, -1191359.85048, -21.05650, 3.09601, 0.96759, 2.12842
36, 2.22882, -1191359.62546, -20.83148, 3.19622, 0.96775, 2.22847
37, 2.32882, -1191359.26845, -20.47448, 3.29435, 0.96617, 2.32817
38, 2.42882, -1191358.99174, -20.19776, 3.39481, 0.96659, 2.42822
39, 2.52882, -1191358.54730, -19.75332, 3.49360, 0.96555, 2.52806
40, 2.62882, -1191358.05063, -19.25666, 3.59356, 0.96552, 2.62805
41, 2.72882, -1191357.50971, -18.71573, 3.69365, 0.96566, 2.72798
42, 2.82882, -1191356.88390, -18.08993, 3.79274, 0.96491, 2.82784
43, 2.92882, -1191356.32167, -17.52770, 3.89330, 0.96544, 2.92786
44, 3.02882, -1191355.62196, -16.82799, 3.99286, 0.96511, 3.02775
45, 3.12882, -1191354.93283, -16.13886, 4.09406, 0.96632, 3.12774
46, 3.22882, -1191354.14907, -15.35509, 4.19442, 0.96681, 3.22761
47, 3.32882, -1191353.47816, -14.68418, 4.29674, 0.96906, 3.32768
48, 3.42882, -1191353.78246, -14.98849, 4.42315, 0.99503, 3.42812
49, 3.52882, -1191353.69281, -14.89884, 4.52411, 0.99624, 3.52787
50, 3.62882, -1191353.00579, -14.21181, 4.62347, 0.99574, 3.62773
51, 3.72882, -1191352.25256, -13.45858, 4.72355, 0.99588, 3.72767
52, 3.82882, -1191351.45039, -12.65642, 4.82374, 0.99614, 3.82760
53, 3.92882, -1191350.54831, -11.75434, 4.92266, 0.99523, 3.92742
