j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -2.08767, -1189154.59181, 0.00000, 1.10150, 3.18916, -2.08767
2, -1.98767, -1189154.73120, -0.13939, 1.10259, 3.09031, -1.98772
3, -1.88767, -1189154.68258, -0.09077, 1.10404, 2.99186, -1.88782
4, -1.78767, -1189154.62247, -0.03066, 1.10483, 2.89270, -1.78786
5, -1.68767, -1189154.56413, 0.02768, 1.10503, 2.79291, -1.68788
6, -1.58767, -1189154.39138, 0.20043, 1.10759, 2.69562, -1.58804
7, -1.48767, -1189154.17929, 0.41253, 1.10851, 2.59661, -1.48810
8, -1.38767, -1189153.87256, 0.71925, 1.11106, 2.49931, -1.38825
9, -1.28767, -1189153.66401, 0.92780, 1.11099, 2.39924, -1.28824
10, -1.18767, -1189153.22095, 1.37086, 1.11469, 2.30315, -1.18846
11, -1.18846, -1189153.22529, 1.36652, 1.11443, 2.30368, -1.18925
12, -1.08846, -1189152.64427, 1.94754, 1.11799, 2.20744, -1.08946
13, -0.98846, -1189152.01649, 2.57532, 1.12222, 2.11189, -0.98967
14, -0.88846, -1189151.09404, 3.49777, 1.12973, 2.01978, -0.89005
15, -0.78846, -1189149.89405, 4.69776, 1.13871, 1.92921, -0.79050
16, -0.68846, -1189148.38653, 6.20528, 1.15033, 1.84133, -0.69100
17, -0.58846, -1189146.55894, 8.03287, 1.16635, 1.75790, -0.59155
18, -0.48846, -1189144.25213, 10.33968, 1.18750, 1.67974, -0.49224
19, -0.38846, -1189141.61933, 12.97248, 1.21095, 1.60362, -0.39267
20, -0.28846, -1189138.73659, 15.85522, 1.23881, 1.53164, -0.29283
21, -0.18846, -1189136.02740, 18.56441, 1.26772, 1.45991, -0.19219
22, -0.08846, -1189134.32512, 20.26669, 1.29402, 1.38408, -0.09006
23, 0.01154, -1189134.71527, 19.87654, 1.32132, 1.30842, 0.01290
24, 0.11154, -1189136.71735, 17.87446, 1.35779, 1.24264, 0.11515
25, 0.21154, -1189139.99220, 14.59961, 1.40449, 1.18794, 0.21655
26, 0.31154, -1189143.53686, 11.05495, 1.46200, 1.14488, 0.31713
27, 0.41154, -1189147.31112, 7.28069, 1.52632, 1.10927, 0.41706
28, 0.51154, -1189150.88216, 3.70965, 1.59577, 1.07918, 0.51659
29, 0.61154, -1189154.11696, 0.47485, 1.67199, 1.05593, 0.61605
30, 0.71154, -1189156.89042, -2.29861, 1.75018, 1.03505, 0.71513
31, 0.81154, -1189159.30445, -4.71264, 1.83745, 1.02263, 0.81482
32, 0.91154, -1189161.24285, -6.65104, 1.92269, 1.00881, 0.91389
33, 1.01154, -1189162.96127, -8.36946, 2.01725, 1.00345, 1.01381
34, 1.11154, -1189164.26880, -9.67699, 2.10671, 0.99372, 1.11300
35, 1.21154, -1189165.66048, -11.06867, 2.20642, 0.99320, 1.21322
36, 1.31154, -1189166.67566, -12.08385, 2.30180, 0.98888, 1.31292
37, 1.41154, -1189167.72076, -13.12895, 2.40085, 0.98796, 1.41288
38, 1.51154, -1189168.54360, -13.95179, 2.49761, 0.98495, 1.51266
39, 1.61154, -1189169.13048, -14.53867, 2.59159, 0.97944, 1.61215
40, 1.71154, -1189170.22701, -15.63520, 2.69725, 0.98459, 1.71266
41, 1.81154, -1189170.92291, -16.33110, 2.79515, 0.98269, 1.81246
42, 1.91154, -1189171.62786, -17.03605, 2.89498, 0.98256, 1.91242
43, 2.01154, -1189172.15948, -17.56767, 2.99291, 0.98065, 2.01226
44, 2.11154, -1189172.50173, -17.90992, 3.08772, 0.97593, 2.11179
45, 2.11179, -1189172.50067, -17.90886, 3.08786, 0.97573, 2.11213
46, 2.21179, -1189173.15153, -18.55972, 3.19295, 0.98052, 2.21243
47, 2.31179, -1189173.46516, -18.87335, 3.28777, 0.97573, 2.31204
48, 2.41179, -1189173.87764, -19.28583, 3.38977, 0.97757, 2.41220
49, 2.51179, -1189174.30260, -19.71079, 3.49028, 0.97801, 2.51227
50, 2.61179, -1189174.54636, -19.95455, 3.58849, 0.97640, 2.61209
51, 2.61209, -1189174.54478, -19.95297, 3.58862, 0.97623, 2.61239
52, 2.71209, -1189174.73279, -20.14098, 3.68765, 0.97534, 2.71232
53, 2.81209, -1189174.87624, -20.28443, 3.78665, 0.97439, 2.81226
54, 2.91209, -1189174.97875, -20.38694, 3.88579, 0.97360, 2.91218
55, 3.01209, -1189174.99986, -20.40805, 3.98398, 0.97195, 3.01203
56, 3.11209, -1189174.98512, -20.39331, 4.08359, 0.97154, 3.11205
57, 3.21209, -1189174.89315, -20.30134, 4.18206, 0.97020, 3.21186
58, 3.31209, -1189174.81428, -20.22247, 4.28211, 0.97017, 3.31193
59, 3.41209, -1189174.68984, -20.09803, 4.38184, 0.96994, 3.41190
60, 3.51209, -1189174.50276, -19.91095, 4.48063, 0.96888, 3.51175
61, 3.61209, -1189174.32160, -19.72979, 4.58101, 0.96922, 3.61179
62, 3.71209, -1189174.08875, -19.49694, 4.68021, 0.96850, 3.71171
63, 3.81209, -1189173.83419, -19.24238, 4.78009, 0.96843, 3.81166
64, 3.91209, -1189173.56825, -18.97644, 4.88006, 0.96836, 3.91170
