j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -3.75435, -1189542.63334, 0.00000, 1.10089, 4.85524, -3.75435
2, -3.65435, -1189542.62105, 0.01230, 1.10146, 4.75585, -3.65439
3, -3.55435, -1189542.60892, 0.02443, 1.10176, 4.65617, -3.55441
4, -3.45435, -1189542.54049, 0.09286, 1.10220, 4.55671, -3.45451
5, -3.35435, -1189542.45510, 0.17825, 1.10267, 4.45723, -3.35456
6, -3.25435, -1189542.39009, 0.24325, 1.10257, 4.35702, -3.25445
7, -3.15435, -1189542.24979, 0.38355, 1.10353, 4.25797, -3.15444
8, -3.05435, -1189542.16206, 0.47129, 1.10345, 4.15796, -3.05451
9, -2.95435, -1189542.00949, 0.62385, 1.10474, 4.05946, -2.95472
10, -2.85435, -1189541.91083, 0.72251, 1.10394, 3.95853, -2.85458
11, -2.75435, -1189541.73702, 0.89632, 1.10521, 3.85987, -2.75466
12, -2.65435, -1189541.57304, 1.06031, 1.10510, 3.75976, -2.65466
13, -2.55435, -1189541.34613, 1.28722, 1.10634, 3.66110, -2.55476
14, -2.45435, -1189541.08317, 1.55017, 1.10715, 3.56191, -2.45476
15, -2.35435, -1189540.86507, 1.76827, 1.10682, 3.46160, -2.35479
16, -2.25435, -1189540.56343, 2.06992, 1.10789, 3.36275, -2.25486
17, -2.15435, -1189540.31270, 2.32065, 1.10696, 3.26176, -2.15480
18, -2.05435, -1189539.98463, 2.64871, 1.10853, 3.16340, -2.05487
19, -1.95435, -1189539.63923, 2.99411, 1.10867, 3.06359, -1.95491
20, -1.85435, -1189539.29598, 3.33736, 1.10834, 2.96324, -1.85490
21, -1.75435, -1189538.90921, 3.72414, 1.11000, 2.86501, -1.75501
22, -1.65435, -1189538.47511, 4.15823, 1.11072, 2.76577, -1.65504
23, -1.55435, -1189538.26828, 4.36507, 1.10850, 2.66345, -1.55495
24, -1.45435, -1189539.69610, 2.93725, 1.10851, 2.56348, -1.45497
25, -1.35435, -1189540.59785, 2.03549, 1.10608, 2.46094, -1.35486
26, -1.25435, -1189541.12888, 1.50446, 1.10794, 2.36291, -1.25497
27, -1.15435, -1189540.67174, 1.96161, 1.11133, 2.26648, -1.15515
28, -1.05435, -1189540.17005, 2.46329, 1.11390, 2.16918, -1.05529
29, -0.95435, -1189539.45401, 3.17933, 1.12045, 2.07611, -0.95566
30, -0.85435, -1189538.86488, 3.76847, 1.12698, 1.98306, -0.85608
31, -0.75435, -1189538.12124, 4.51211, 1.13878, 1.89536, -0.75658
32, -0.65435, -1189536.41542, 6.21793, 1.15414, 1.81142, -0.65728
33, -0.55435, -1189534.27508, 8.35826, 1.17144, 1.72935, -0.55791
34, -0.45435, -1189531.70711, 10.92624, 1.19315, 1.65162, -0.45847
35, -0.35435, -1189528.86441, 13.76894, 1.21885, 1.57763, -0.35878
36, -0.25435, -1189525.96234, 16.67100, 1.24811, 1.50660, -0.25849
37, -0.15435, -1189523.84029, 18.79305, 1.27445, 1.43105, -0.15660
38, -0.05435, -1189523.20764, 19.42571, 1.30238, 1.35635, -0.05397
39, 0.04565, -1189524.53436, 18.09899, 1.33479, 1.28594, 0.04885
40, 0.14565, -1189527.27808, 15.35526, 1.37731, 1.22681, 0.15050
41, 0.24565, -1189530.80756, 11.82578, 1.42764, 1.17638, 0.25126
42, 0.34565, -1189534.85236, 7.78099, 1.48809, 1.13643, 0.35167
43, 0.44565, -1189538.84871, 3.78463, 1.55273, 1.10114, 0.45158
44, 0.54565, -1189542.66421, -0.03087, 1.62436, 1.07326, 0.55110
45, 0.64565, -1189546.12577, -3.49242, 1.70169, 1.05112, 0.65058
46, 0.74565, -1189549.28140, -6.64806, 1.78480, 1.03488, 0.74992
47, 0.84565, -1189551.88732, -9.25398, 1.86892, 1.01990, 0.84901
48, 0.94565, -1189554.12825, -11.49491, 1.95827, 1.00957, 0.94870
49, 1.04565, -1189555.93556, -13.30222, 2.04795, 0.99981, 1.04815
50, 1.14565, -1189557.57256, -14.93922, 2.14259, 0.99488, 1.14771
51, 1.24565, -1189558.78838, -16.15503, 2.23594, 0.98875, 1.24719
52, 1.34565, -1189559.78527, -17.15193, 2.33186, 0.98492, 1.34694
53, 1.44565, -1189560.53219, -17.89885, 2.42747, 0.98079, 1.44668
54, 1.54565, -1189561.19930, -18.56595, 2.52565, 0.97919, 1.54646
55, 1.64565, -1189561.62876, -18.99542, 2.62246, 0.97622, 1.64625
56, 1.74565, -1189561.90749, -19.27415, 2.72017, 0.97424, 1.74593
57, 1.74593, -1189561.91394, -19.28060, 2.72027, 0.97405, 1.74622
58, 1.84593, -1189562.34220, -19.70886, 2.82058, 0.97436, 1.84622
59, 1.94593, -1189562.50038, -19.86704, 2.91852, 0.97256, 1.94597
60, 2.04593, -1189562.85281, -20.21947, 3.02013, 0.97391, 2.04621
61, 2.14593, -1189563.53300, -20.89966, 3.11925, 0.97319, 2.14606
62, 2.24593, -1189563.63368, -21.00034, 3.21840, 0.97250, 2.24590
