j, rc, E, deltaE, d_CH, d_HOcof, rc_m
63, 2.34593, -1189563.87876, -21.24542, 3.31889, 0.97290, 2.34599
64, 2.44593, -1189563.86063, -21.22729, 3.41723, 0.97148, 2.44575
65, 2.54593, -1189563.82257, -21.18923, 3.51744, 0.97170, 2.54574
66, 2.64593, -1189563.66042, -21.02708, 3.61638, 0.97073, 2.64566
67, 2.74593, -1189563.62801, -20.99467, 3.71717, 0.97148, 2.74568
68, 2.84593, -1189563.41724, -20.78390, 3.81593, 0.97041, 2.84552
69, 2.94593, -1189563.10377, -20.47043, 3.91524, 0.96985, 2.94539
70, 3.04593, -1189563.01583, -20.38249, 4.01633, 0.97083, 3.04550
71, 3.14593, -1189562.69541, -20.06207, 4.11511, 0.96976, 3.14535
72, 3.24593, -1189562.43463, -19.80129, 4.21510, 0.96981, 3.24529
73, 3.34593, -1189562.19261, -19.55927, 4.31630, 0.97086, 3.34544
74, 3.44593, -1189561.81346, -19.18012, 4.41519, 0.96991, 3.44528
75, 3.54593, -1189561.58903, -18.95569, 4.51738, 0.97184, 3.54555
76, 3.64593, -1189561.29800, -18.66466, 4.61640, 0.97103, 3.64537
77, 3.74593, -1189561.31392, -18.68058, 4.71816, 0.97258, 3.74558
78, 3.84593, -1189561.13244, -18.49910, 4.81754, 0.97206, 3.84548
79, 3.94593, -1189560.79023, -18.15689, 4.91676, 0.97141, 3.94534
