j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -3.54257, -1190748.18456, 0.00000, 1.09740, 4.63997, -3.54257
2, -3.44257, -1190748.17846, 0.00611, 1.09852, 4.54115, -3.44263
3, -3.34257, -1190748.14026, 0.04430, 1.09892, 4.44161, -3.34269
4, -3.24257, -1190748.07545, 0.10911, 1.09932, 4.34201, -3.24269
5, -3.14257, -1190747.95541, 0.22915, 1.10017, 4.24295, -3.14278
6, -3.04257, -1190747.81547, 0.36909, 1.10077, 4.14364, -3.04287
7, -2.94257, -1190747.65223, 0.53233, 1.10083, 4.04371, -2.94288
8, -2.84257, -1190747.48834, 0.69623, 1.10123, 3.94409, -2.84286
9, -2.74257, -1190747.25350, 0.93106, 1.10282, 3.84581, -2.74299
10, -2.64257, -1190747.10330, 1.08126, 1.10221, 3.74514, -2.64293
11, -2.54257, -1190746.85258, 1.33198, 1.10325, 3.64629, -2.54304
12, -2.44257, -1190746.56878, 1.61578, 1.10390, 3.54693, -2.44303
13, -2.34257, -1190746.39740, 1.78716, 1.10363, 3.44661, -2.34297
14, -2.24257, -1190746.12526, 2.05930, 1.10436, 3.34738, -2.24303
15, -2.14257, -1190745.86705, 2.31751, 1.10430, 3.24729, -2.14299
16, -2.04257, -1190745.55844, 2.62613, 1.10568, 3.14878, -2.04310
17, -1.94257, -1190745.44344, 2.74112, 1.10418, 3.04711, -1.94293
18, -1.84257, -1190745.19675, 2.98781, 1.10489, 2.94787, -1.84298
19, -1.74257, -1190744.89344, 3.29113, 1.10652, 2.84962, -1.74310
20, -1.64257, -1190744.89773, 3.28683, 1.10574, 2.74871, -1.64297
21, -1.54257, -1190744.64261, 3.54196, 1.10727, 2.65034, -1.54307
22, -1.44257, -1190744.36848, 3.81608, 1.10747, 2.55052, -1.44304
23, -1.34257, -1190744.01066, 4.17390, 1.10930, 2.45247, -1.34316
24, -1.24257, -1190743.68287, 4.50169, 1.11066, 2.35387, -1.24321
25, -1.14257, -1190743.20200, 4.98256, 1.11431, 2.25774, -1.14343
26, -1.04257, -1190742.69938, 5.48518, 1.11631, 2.15979, -1.04348
27, -0.94257, -1190741.97866, 6.20590, 1.12278, 2.06663, -0.94384
28, -0.84257, -1190741.08259, 7.10197, 1.12910, 1.97324, -0.84414
29, -0.74257, -1190739.96645, 8.21811, 1.13850, 1.88303, -0.74453
30, -0.64257, -1190738.46179, 9.72277, 1.15325, 1.79837, -0.64512
31, -0.54257, -1190736.65906, 11.52550, 1.16908, 1.71465, -0.54557
32, -0.44257, -1190734.47500, 13.70956, 1.19144, 1.63753, -0.44609
33, -0.44609, -1190734.55785, 13.62671, 1.19031, 1.63990, -0.44959
34, -0.34609, -1190732.20565, 15.97891, 1.21418, 1.56389, -0.34971
35, -0.24609, -1190729.88755, 18.29701, 1.24348, 1.49280, -0.24932
36, -0.14609, -1190728.46476, 19.71980, 1.26862, 1.41592, -0.14730
37, -0.04609, -1190728.50749, 19.67707, 1.29835, 1.34296, -0.04461
38, 0.05391, -1190730.28646, 17.89810, 1.33471, 1.27698, 0.05773
39, 0.15391, -1190733.49755, 14.68701, 1.37823, 1.21897, 0.15926
40, 0.25391, -1190737.35915, 10.82541, 1.43063, 1.17072, 0.25991
41, 0.35391, -1190741.50762, 6.67694, 1.49155, 1.13142, 0.36013
42, 0.45391, -1190745.56287, 2.62169, 1.55688, 1.09696, 0.45991
43, 0.55391, -1190749.36010, -1.17554, 1.62953, 1.07030, 0.55922
44, 0.65391, -1190752.70307, -4.51851, 1.70591, 1.04732, 0.65859
45, 0.75391, -1190755.67649, -7.49193, 1.78935, 1.03147, 0.75788
46, 0.85391, -1190758.10966, -9.92510, 1.87426, 1.01722, 0.85704
47, 0.95391, -1190760.15914, -11.97458, 1.96450, 1.00787, 0.95664
48, 1.05391, -1190761.77489, -13.59033, 2.05414, 0.99833, 1.05582
49, 1.15391, -1190763.16805, -14.98349, 2.14959, 0.99392, 1.15567
50, 1.25391, -1190764.21106, -16.02650, 2.24310, 0.98782, 1.25528
51, 1.35391, -1190765.10917, -16.92461, 2.34032, 0.98531, 1.35501
52, 1.45391, -1190765.74206, -17.55750, 2.43598, 0.98126, 1.45472
53, 1.55391, -1190766.27507, -18.09051, 2.53401, 0.97944, 1.55457
54, 1.65391, -1190766.58958, -18.40502, 2.62990, 0.97565, 1.65425
55, 1.75391, -1190766.91241, -18.72785, 2.72978, 0.97556, 1.75422
56, 1.85391, -1190766.95303, -18.76847, 2.82427, 0.97046, 1.85382
57, 1.95391, -1190767.12334, -18.93878, 2.92605, 0.97212, 1.95392
58, 2.05391, -1190767.16618, -18.98162, 3.02556, 0.97167, 2.05389
59, 2.15391, -1190767.06262, -18.87806, 3.12284, 0.96920, 2.15364
60, 2.25391, -1190767.01961, -18.83505, 3.22338, 0.96967, 2.25372
61, 2.35391, -1190766.84212, -18.65756, 3.32196, 0.96836, 2.35360
62, 2.45391, -1190766.59248, -18.40792, 3.42088, 0.96741, 2.45347
63, 2.55391, -1190766.49272, -18.30816, 3.52142, 0.96788, 2.55354
64, 2.65391, -1190766.21514, -18.03058, 3.62041, 0.96697, 2.65344
65, 2.75391, -1190765.90080, -17.71624, 3.72007, 0.96668, 2.75339
66, 2.85391, -1190765.51160, -17.32704, 3.81927, 0.96600, 2.85327
67, 2.95391, -1190765.24488, -17.06032, 3.92004, 0.96665, 2.95340
68, 3.05391, -1190764.82840, -16.64384, 4.01933, 0.96609, 3.05323
69, 3.15391, -1190764.40202, -16.21746, 4.11946, 0.96629, 3.15317

